实体名称,中文名,公司名称,外文名,别名,地址,总部,总部地点,成员国,成立时间,正式成立,组织机构,现任总领事,上级机构,隶属,所属地区,类型,所有者,所属公司,所属联盟,首席主编,主要产品,语种,类别,主办单位,编辑单位,创刊时间,国外发行代号,官网,主要奖项,知名校友,创办时间,创办人,创始人,办学性质,主管部门,硕士点,博士点,现任校长,董事长,主要院系,类型,所属行业,法定代表人,经营范围,公司类型,公司口号,著名产品
国家安全委员会,中国共产党中央国家安全委员会,,National Security Commission of the Communist Party of China,,,,,,2014年1月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国广播公司,,美国广播公司,,,,,美国 纽约,,,,,,,,,,,,,,,,,,,,,http://abcnews.go.com/,,,,,,,,,,,,,,,,广播服务,外商独资,,
美国参议院,美国参议院,,the United States Senate,,美国华盛顿哥伦比亚特区国会山庄,,,,,,,,,,,,,,,,,,,,,,,http://www.senate.gov/,,,,,,,,,,,,,,,,,,,
波特兰,波特兰,,Portland,玫瑰之城,,,,,,,,,,,姆尔特诺默县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国土安全部,美国国土安全部,,Department of Homeland Security,,,,,,2002年11月25日,,,,,,,,,,,,,,,,,,,https://www.dhs.gov/,,,,,,,,,,,,,,,,,,,
英国葛兰素史克公司,,英国葛兰素史克公司,GlaxoSmithKline,,,,,,2000年12月,,,,,,,,,,,,,,,,,,,http://www.gsk.com/,,,,,,,,,,,,,,,,,,,
俄罗斯卫生部,俄罗斯联邦卫生部,,Министерство здравоохранения Российской Федерации,,,,,,2012年5月21日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太空探索技术公司,,太空探索技术公司,SpaceX,,,,美国加利福尼亚州的霍索恩,,2002年6月,,,,,,,,,,,,,,,,,,,http://www.spacex.com/,,,,,,,,,,,,,,,,航天,融资企业,"降低成本,提高太空服务",
美国国会,美国国会,,Congress of the United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每日电讯报,,,,,,,,,,,,,,,,,,,,,,,,,,1855年6月29日,,http://www.telegraph.co.uk/,,,,,,,,,,,,,,,,,,,
中国外交部,中华人民共和国外交部,,Ministry of Foreign Affairs of the People's Republic of China,,,,,,,,,,,,,,,,,,,,,,,,,http://www.mfa.gov.cn/web/,,,,,,,,,,,,,,,,,,,
斯坦福大学,斯坦福大学,,Leland Stanford Junior UniversityStanford University,,"450 Serra Mall, Stanford, CA 94305",,,,,,,,,,,,,,,,,,,,,,,,83位诺贝尔奖、8位菲尔兹奖、28位图灵奖[21] 4位普利策奖139枚奥运金牌(全美第二)、73银牌、58铜牌[22] ,赫伯特·克拉克·胡佛、文顿·瑟夫、谢尔盖·布林、拉里·佩奇[21] ,1891年(1885年成立)[19] ,,,私立大学,,,,,,,,,,,,,
美国联邦航空局,美国联邦航空局,, Federal Aviation Administration,,,,,,1958年11月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波音,,波音,The Boeing Company,,,,美国芝加哥市(2001年前在西雅图市),,1916年7月15日,,,,,,,,,,,,,,,,,,,,,,,,威廉·爱德华·波音,,,,,,,,,,,"民机制造,军火制造,空间开发",公开上市,,
阿拉斯加航空公司,阿拉斯加航空公司,,Alaska Airlines,,,"西塔科,Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄新社,俄罗斯国际新闻通讯社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄国防部,俄罗斯联邦国防部,,Министерство обороны Российской Федерации,,,,,,1992年3月16日,,,,,,,,,,,,,,,,,,,mil.ru,,,,,,,,,,,,,,,,,,,
美国法院,美国法院,,Court System of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国国土安全部,美国国土安全部,,Department of Homeland Security,,,,,,2002年11月25日,,,,,,,,,,,,,,,,,,,https://www.dhs.gov/,,,,,,,,,,,,,,,,,,,
美国国家安全委员会,美国国家安全委员会,, United States(U.S.)National Security Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国东部时间,美国东部时间,,"Eastern Standard Time,EST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
约翰斯·霍普金斯大学,约翰斯·霍普金斯大学,,The Johns Hopkins University,,"巴尔的摩:3400 N. Charles Street Baltimore华盛顿:1740 Massachusetts Ave., N.W. Washington, D.C",,,,,,,,,,,,,,,,,,,,,,,,,威尔逊、布隆伯格、朱民、施一公等,1876年(丙子年),约翰斯·霍普金斯,,私立大学,,,,,,,,,,,,,
中国共产党,中国共产党,,"the Communist Party of China,简称CPC[5] ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国对外关系委员会,美国对外关系委员会,,Council on Foreign Relations,,,,美国纽约,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄罗斯国防部,俄罗斯联邦国防部,,Министерство обороны Российской Федерации,,,,,,1992年3月16日,,,,,,,,,,,,,,,,,,,mil.ru,,,,,,,,,,,,,,,,,,,
美国驻成都总领馆,美国驻成都总领事馆,,U.S. Consulate General in Chengdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美驻成都总领馆,美国驻成都总领事馆,,U.S. Consulate General in Chengdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
联邦快递公司,,联邦快递,FedEx  Express,,,,美国田纳西州孟菲斯,,1971年,,,,,,,,,,,,,,,,,,,http://www.fedex.com/,,,,,,,,,,,,,,,,快递物流,,,
国际文传电讯社,,国际文传电讯社,,,,,俄罗斯,,1989 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新闻,,,
俄罗斯黑海舰队,,,,,,,,,,,,,,,俄罗斯黑海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
