47---累计: 0.0784, 汇总: 0.0735, 统计数据: 0.0569, 伊利诺伊州: 0.0531, 田纳西州: 0.0478, 升至: 0.0449, 项目: 0.0447, 确诊: 0.0435, 时间: 0.0434, 佐治亚州: 0.041, 北卡罗来纳州: 0.0394, 数据: 0.0341, 显示: 0.0305, 病例: 0.0293, 超过: 0.0251, 死亡: 0.0251, 北京: 0.0234, 新冠: 0.0234, 新泽西州: 0.0195, 亚利桑那州: 0.019
61---选票: 0.1181, 选举: 0.0612, 倾斜: 0.0271, 延期: 0.0255, 工作人员: 0.0213, 认证: 0.0204, 投票系统: 0.0193, 选民: 0.019, 计票: 0.0186, 欺诈: 0.0168, 挑战: 0.0163, 团队: 0.015, 密歇根州: 0.015, 法律: 0.0142, 程序: 0.0141, 部门: 0.014, 删除: 0.0136, 停止: 0.0129, 总统: 0.0126, 国土: 0.0119
41---时报: 0.135, 事件: 0.1232, 枪支: 0.1068, 枪击: 0.0766, 死亡: 0.0718, 洛杉矶: 0.0628, 发生: 0.0533, 现场: 0.0488, 男子: 0.0406, 奥地利: 0.0392, 警方: 0.0379, 维也纳: 0.0361, 枪手: 0.0199, 报道: 0.016, 调查: 0.0145, 包括: 0.011, 民众: 0.009, 美国: 0.0088, 警察: 0.0088, 呼吁: 0.0086
12---监视: 0.0586, 人造卫星: 0.0498, 资讯: 0.0479, 碎片: 0.0477, 自卫: 0.0454, 侦察: 0.0445, 垃圾: 0.0423, 状况: 0.0361, 机制: 0.0342, 空军基地: 0.0335, 抵近: 0.0334, 感知: 0.0332, 广东: 0.0296, 侦察机: 0.0283, 态势: 0.0283, 空地: 0.0267, 太空: 0.0256, 探测: 0.0254, 联合: 0.0249, 战略: 0.0247
13---波音: 0.0833, 空难: 0.07, 复飞: 0.06, 飞机: 0.0506, 停飞: 0.0465, 客机: 0.0447, 航空: 0.043, 机型: 0.0394, 管理局: 0.0279, 认证: 0.0221, 飞行: 0.0212, 联邦: 0.0191, 遇难: 0.0187, 执飞: 0.0186, 机上: 0.0184, 自动: 0.0183, 升级: 0.0174, 缺陷: 0.0169, 软件: 0.0158, 修改: 0.0158
11---精力: 0.0455, 巴里: 0.0454, 战区: 0.0446, 言行: 0.0428, 放在: 0.041, 时刻: 0.0406, 戒备: 0.0404, 信号: 0.0372, 全程: 0.0368, 识别: 0.0359, 高度: 0.0358, 兵力: 0.0345, 重返: 0.0328, 错误: 0.0327, 领海: 0.0312, 台海: 0.0294, 台湾海峡: 0.0261, 抗疫: 0.0252, 风险: 0.0245, 国际法: 0.024
33---亚美尼亚: 0.0977, 阿塞拜疆: 0.0968, 停火: 0.0636, 地区: 0.0361, 小组: 0.0348, 冲突: 0.0347, 发动: 0.0338, 指责: 0.0326, 人道主义: 0.031, 平民: 0.0268, 违反: 0.026, 爆发: 0.0255, 亚阿: 0.025, 达成: 0.0228, 外长: 0.0226, 交换: 0.0226, 亚方: 0.0186, 遗体: 0.0154, 日内瓦: 0.015, 谈判: 0.0148
46---巴西: 0.105, 智利: 0.082, 秘鲁: 0.081, 死亡: 0.0632, 冠病: 0.0574, 病例: 0.0398, 超过: 0.0391, 全球: 0.038, 累计: 0.033, 国家: 0.0319, 地区: 0.0291, 拉丁美洲: 0.0289, 确诊: 0.0263, 统计: 0.0255, 官方: 0.0244, 数据: 0.0238, 族裔: 0.0216, 意大利: 0.0213, 人数: 0.0211, 疫情: 0.0142
37---日本: 0.1086, 防卫: 0.0526, 搬迁: 0.0365, 县知事: 0.0365, 胜信: 0.0359, 投降: 0.0331, 当局: 0.0323, 提升: 0.0317, 民众: 0.0305, 自卫队: 0.0294, 出云: 0.0272, 原子弹: 0.0267, 广岛: 0.0247, 冲绳: 0.0239, 直升机: 0.0239, 战斗机: 0.0237, 冲绳县: 0.0235, 基地: 0.0181, 年度: 0.0165, 美国: 0.0159
59---介绍: 0.0667, 巴伦: 0.063, 发表文章: 0.0578, 经历: 0.0575, 降低: 0.0567, 所长: 0.0513, 下降: 0.0423, 数量: 0.0372, 阴性: 0.037, 隔离: 0.0357, 媒体: 0.0354, 单日: 0.0353, 确诊: 0.0337, 传染病: 0.0286, 病毒检测: 0.0251, 研究所: 0.0248, 症状: 0.0237, 数据: 0.0232, 新增: 0.0206, 新冠: 0.0181
